Player,Pos,MP,Min,PrgC,PrgP,xAG,xG,Gls,Gls-xG,PPA,Att 3rd,Name,Minutes played,Appearances,Tackles,Interceptions,Clearances,Ground duels won,Ground duels won %,Total duels won,Aerial duels won %,Aerial duels won,Total duels won %
James Ward-Prowse,MF,1,18,1,4,0.0,0.0,0,0.0,2,44,James Ward-Prowse,404,7,5,5,5,7,50.0,10,42.86,3,47.62
James Ward-Prowse,MF,6,379,1,16,0.1,0.1,0,-0.1,0,2,James Ward-Prowse,404,7,5,5,5,7,50.0,10,42.86,3,47.62
James Ward-Prowse,MF,6,379,1,16,0.1,0.1,0,-0.1,0,44,James Ward-Prowse,404,7,5,5,5,7,50.0,10,42.86,3,47.62
James Ward-Prowse,MF,6,379,1,16,0.1,0.1,0,-0.1,2,2,James Ward-Prowse,404,7,5,5,5,7,50.0,10,42.86,3,47.62
James Ward-Prowse,MF,6,379,1,16,0.1,0.1,0,-0.1,2,44,James Ward-Prowse,404,7,5,5,5,7,50.0,10,42.86,3,47.62
Adam Wharton,MF,8,622,6,61,0.6,0.2,0,-0.2,11,109,Adam Wharton,625,8,18,10,13,31,44.93,36,31.25,5,42.35
Mats Wieffer,MF,11,413,4,26,0.6,0.3,0,-0.3,0,61,Mats Wieffer,409,11,18,5,11,26,48.15,40,63.64,14,52.63
Joe Willock,"MF,FW",12,451,16,20,1.1,0.5,0,-0.5,2,109,Joe Willock,453,12,12,2,3,24,43.64,25,14.29,1,40.32
Harry Winks,MF,11,865,12,59,1.0,0.2,0,-0.2,3,98,Harry Winks,866,11,12,4,12,20,48.78,24,40.0,4,47.06
Yehor Yarmoliuk,MF,11,322,3,15,0.1,0.4,0,-0.4,4,74,Yehor Yarmoliuk,325,11,11,6,9,17,38.64,20,60.0,3,40.82
Ryan Yates,MF,15,1124,12,30,0.7,1.6,1,-0.6000000000000001,3,179,Ryan Yates,1121,15,24,15,32,60,52.17,92,64.0,32,55.76
Martin Ødegaard,MF,8,665,24,74,1.5,1.8,1,-0.8,25,213,Martin Ødegaard,667,8,9,1,1,30,44.12,32,100.0,2,45.71
